"doc_id","text"
"1130309235290583040","There<U+2019>s nothing in the world more powerful than a good story. #GameOfThrones"
"1130309268652068865","Bran rolling up on the Iron Throne.

 #GameOfThrones https://t.co/zKRqpjXzVR"
"1130309268622725120","a Bran o tempo todo dizendo que n<U+00E3>o queria governar

o Bran no final: ""PORQUE QUE C<U+00CA> ACHA QUE EU T<U+00D4> AQUI???""

#GameofThrones https://t.co/yNQCCKCiKV"
"1130309268601810947","House Stark Forever <U+0001F43A> #GameOfThrones https://t.co/Fw9XryBa2C"
"1130309268601737218","S<U+00F3> faltou torrar o JON SNOW, mas mesmo assim, parab<U+00E9>ns #got  
#GameOfThrones
#GameOfThronesFinale

 https://t.co/jDpRJTCtqq"
"1130309268584845312","Volver a donde todo comenz<U+00F3>. Quiz<U+00E1> lo que m<U+00E1>s me gust<U+00F3>, despu<U+00E9>s de todo. #GameOfThrones https://t.co/LSLc71LNmy"
"1130309268534697984","O final n<U+00E3>o foi ruim. Foi muito ruim  #GameOfThrones"
"1130309268534693894","Srsly why tho  #GameOfThrones https://t.co/SSbpVyoY17"
"1130309268526239744","A pior coisa de um p<U+00E9>ssimo roteiro <U+00E9> voc<U+00EA> assistir o <U+00FA>ltimo epis<U+00F3>dio da s<U+00E9>rie que voc<U+00EA> acompanhou desde o come<U+00E7>o e n<U+00E3>o sentir nada. Nem raiva, nem felicidade, nem a sensa<U+00E7><U+00E3>o de que os arcos se fecharam.

<U+00C9> uma pena ter acabado assim

#GameofThrones #GameofthronesFinale"
"1130309268442370051","Isso nao foi um final agridoce, foi  um final agribosta...
#GameOfThrones
#GOT 
#GameOfThronesFinale"
"1130309268396224514","JON: *pets Ghost*

Me:

#GameOfThrones https://t.co/aL4CV4e31b"
"1130309268392091649","There<U+2019>s nothing in the world more powerful than a good story. #GameOfThrones"
"1130309268383703040","Everyone: All hail Bran, first of his name!!!
Bran the Builder:
#gameofthrones https://t.co/9z2F22lu4J"
"1130309268366942210","When you don<U+2019>t contribute to the group project and still get an A #GameOfThrones #GOT #GOTFinale https://t.co/QpYK4IyesK"
"1130309268362670082","Drogon burned down the iron throne and Bran was like it's alright I brought my own lmao #GameOfThrones"
"1130309268354293762","#GameofThrones #TheFinalEpisode 

Bran headed to King<U+2019>s Landing after everybody fought all the wars for him knowing damn well he was gonna be the King 

 https://t.co/pPcjTy4PS1"
"1130309268337582080","EMILIA CLARKE STANDS BY DAENERYS AND THAT IS ALL THAT MATTERS #GAMEOFTHRONES https://t.co/yYXPUzaja6"
"1130309268333387776","#GameOfThrones
Cuando Jon Snow se reencuentra con Ghost. La mejor escena del #GameOfThronesFinale https://t.co/ynwwgxVFc7"
"1130309268324773889","He didn<U+2019>t kill Jon because he didn<U+2019>t blame Jon,he blamed the iron throne. Drogon knew that the throne killed his mother. That scene was heartbreaking and perfect. He finished his mother<U+2019>s wishes and broke the wheel. #GameOfThrones 
https://t.co/N84awCX3fS"
"1130309268299821057","I knew Dany had to die but that shit still hurted. George RR Martin don<U+2019>t do her so dirty in your book plssss give her the ending she deserves!!!
 #GameofThrones"
"1130309268194906112","Arya descubrio America antes que Cristobal Colon. Ah 

#GameOfThrones https://t.co/2eWE5DsyCW"
"1130309268186587142","Can't believe the spoilers were true #GameofThrones"
"1130309268178120704","Todav<U+00ED>a no me explico por qu<U+00E9> Drogon no quem<U+00F3> vivo al mariconazo de Jon... #GameOfThrones https://t.co/LYJRtKPqyU"
"1130309236217569281","Bran durante estos 8 a<U+00F1>os 
#GameOfThronesFinale 
#GameofThrones https://t.co/KX9oHm3Ned"
"1130309268173930497","El ""Y si no es de mi mami, no ser<U+00E1> de nadie m<U+00E1>s"" a todo lo que da... 

#GameOfThrones https://t.co/bslmMoA547"
"1130309209520840704","Solo me queda compartir los buenos memes #GameOfThrones https://t.co/71Vll3hday"
"1130309268148764673","#GameofThrones No ser<U+00E1> Los Simpsons, pero Kit Harrington lo predijo muchachos https://t.co/xZlyV0ZUD7"
"1130309268127846401","because #GameOfThrones is ending, here is the single greatest scene from the series https://t.co/l2dF2papcW"
"1130309268085846016","Bran be like. #gameofthrones #demthrones https://t.co/QeoM8RN1q3"
"1130309268069060610","me when sansa got crowned #GameofThrones https://t.co/e3tRT7yekN"
